City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Huarmey,-10.07,-78.15,68.11,68,9,9.66,PE,2020-06-20 19:53:05
70,Hobart,-42.88,147.33,46.4,93,90,4.7,AU,2020-06-20 19:52:42
71,Nara,34.69,135.8,64.99,75,1,2.75,JP,2020-06-20 19:49:27
72,Banda Aceh,5.56,95.32,80.17,76,74,6.6,ID,2020-06-20 19:53:06
73,Yumen,40.28,97.2,74.12,26,100,7.43,CN,2020-06-20 19:53:06
74,Saint-Pierre,-21.34,55.48,68.0,77,43,2.24,RE,2020-06-20 19:53:06
75,Berlevag,70.86,29.09,44.62,78,1,1.79,NO,2020-06-20 19:53:07
76,Gat,31.61,34.76,73.99,85,1,6.67,IL,2020-06-20 19:49:01
77,Yar-Sale,66.83,70.83,45.81,69,92,14.43,RU,2020-06-20 19:53:07
78,Hami,42.8,93.45,77.77,19,90,6.22,CN,2020-06-20 19:53:07
79,Kyra,49.58,111.98,51.48,83,100,3.65,RU,2020-06-20 19:53:07
80,Georgetown,5.41,100.34,82.4,83,20,4.7,MY,2020-06-20 19:53:08
81,Puerto Colombia,10.99,-74.95,91.4,63,75,2.24,CO,2020-06-20 19:53:08
82,Codrington,-38.27,141.97,43.95,91,86,4.97,AU,2020-06-20 19:53:08
83,Kodiak,57.79,-152.41,50.0,87,90,11.41,US,2020-06-20 19:53:08
84,Barrow,71.29,-156.79,33.8,80,90,10.29,US,2020-06-20 19:53:08
85,Khatanga,71.97,102.5,56.88,58,62,14.94,RU,2020-06-20 19:53:09
86,Hailar,49.2,119.7,54.52,66,55,5.28,CN,2020-06-20 19:53:09
87,Nhulunbuy,-12.23,136.77,75.15,71,0,13.73,AU,2020-06-20 19:53:09
88,Mataura,-46.19,168.86,39.0,83,40,3.0,NZ,2020-06-20 19:53:09
89,Bethel,41.37,-73.41,84.99,48,20,8.05,US,2020-06-20 19:50:26
90,Kuruman,-27.45,23.43,46.83,55,0,5.35,ZA,2020-06-20 19:53:10
91,Grand Gaube,-20.01,57.66,73.0,74,96,10.0,MU,2020-06-20 19:53:10
92,Vaini,-21.2,-175.2,75.2,83,40,5.82,TO,2020-06-20 19:53:10
93,Belyy Yar,53.6,91.39,51.8,87,40,6.71,RU,2020-06-20 19:53:10
