City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
70,nieuw amsterdam,100,SR,light rain,96,5.88,-55.08,75.99,0.54,0.54,5.7
71,whyalla,0,AU,clear sky,45,-33.03,137.58,62.6,0.0,0.0,10.29
72,moerai,17,PF,few clouds,72,-22.43,-151.33,72.97,0.0,0.0,15.35
73,chokurdakh,30,RU,scattered clouds,26,70.63,147.92,78.49,0.0,0.0,6.55
74,yaan,100,NG,overcast clouds,94,7.38,8.57,72.93,0.0,0.0,6.11
75,torbay,75,CA,broken clouds,93,47.67,-52.73,66.2,0.0,0.0,25.28
76,los llanos de aridane,90,ES,overcast clouds,68,28.66,-17.92,71.6,0.0,0.0,16.11
77,beruwala,97,LK,light rain,73,6.48,79.98,84.74,0.3,0.3,10.18
78,rongcheng,68,CN,broken clouds,99,30.63,117.85,80.01,0.0,0.0,5.57
79,cockburn town,0,TC,clear sky,83,21.46,-71.14,82.33,0.0,0.0,17.25
80,tuktoyaktuk,90,CA,overcast clouds,86,69.45,-133.04,37.4,0.0,0.0,11.41
81,beloha,0,MG,clear sky,78,-25.17,45.05,63.61,0.0,0.0,9.89
82,keetmanshoop,0,NA,clear sky,40,-26.58,18.13,51.96,0.0,0.0,12.59
83,lichinga,65,MZ,broken clouds,97,-13.31,35.24,55.18,0.0,0.0,7.23
84,sitka,75,US,broken clouds,71,57.05,-135.33,55.4,0.0,0.0,5.82
85,gat,0,IL,clear sky,72,31.61,34.76,75.0,0.0,0.0,2.84
86,hamilton,1,US,clear sky,87,39.18,-84.53,64.99,0.0,0.0,3.36
87,new norfolk,100,AU,overcast clouds,88,-42.78,147.06,55.99,0.0,0.0,1.95
88,upernavik,72,GL,broken clouds,96,72.79,-56.15,32.76,0.0,0.0,7.56
89,georgetown,20,MY,few clouds,70,5.41,100.34,89.6,0.0,0.0,4.7
